Dataset,SHD,SID,Precision,Recall,F1-Score
Complexity 0 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,7,15.0,0.45454545454545453,0.8333333333333334,0.5882352941176471
Complexity 0 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,27,292.0,0.578125,1.0,0.7326732673267327
Complexity 0 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,4,8.0,0.3333333333333333,1.0,0.5
Complexity 0 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,6,18.0,0.5,1.0,0.6666666666666666
Complexity 0 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,2,4.0,0.75,1.0,0.8571428571428571
Complexity 0 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,15,31.0,0.3684210526315789,0.7,0.48275862068965514
Complexity 0 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,34,90.0,0.175,0.875,0.29166666666666663
Complexity 0 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,14,40.0,0.4166666666666667,1.0,0.5882352941176471
Complexity 0 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,3,5.0,0.4,1.0,0.5714285714285715
Complexity 0 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,585,2772.0,0.12678288431061807,0.7017543859649122,0.21476510067114093
Complexity 0 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,48,156.0,0.26229508196721313,0.8421052631578947,0.4
Complexity 0 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,26,83.0,0.23529411764705882,1.0,0.38095238095238093
Complexity 0 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,15,48.0,0.6666666666666666,1.0,0.8
Complexity 0 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,182,2407.0,0.38513513513513514,1.0,0.5560975609756098
Complexity 0 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,36,154.0,0.34545454545454546,1.0,0.5135135135135135
Complexity 0 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,644,2790.0,0.14947089947089948,0.9912280701754386,0.2597701149425287
Complexity 0 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,18,122.0,0.5135135135135135,1.0,0.6785714285714285
Complexity 0 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,0,0.0,1.0,1.0,1.0
Complexity 0 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,110,348.0,0.21428571428571427,1.0,0.35294117647058826
Complexity 0 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,2,4.0,0.8333333333333334,1.0,0.9090909090909091
Complexity 0 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,106,368.0,0.25874125874125875,1.0,0.41111111111111115
Complexity 0 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,7,32.0,0.5333333333333333,1.0,0.6956521739130436
Complexity 0 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,106,362.0,0.21008403361344538,0.6756756756756757,0.32051282051282054
Complexity 0 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,91,301.0,0.22522522522522523,0.8333333333333334,0.3546099290780142
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,29,106.0,0.509090909090909,0.9333333333333333,0.6588235294117647
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,5,12.0,0.5555555555555556,0.8333333333333334,0.6666666666666667
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,102,310.0,0.16037735849056603,0.5666666666666667,0.25
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,3,4.0,0.8181818181818182,0.9,0.8571428571428572
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,634,2753.0,0.08466453674121406,0.4649122807017544,0.14324324324324325
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,8,18.0,0.4166666666666667,0.8333333333333334,0.5555555555555556
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,0,0.0,1.0,1.0,1.0
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,3,5.0,0.4,1.0,0.5714285714285715
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,109,342.0,0.2116788321167883,0.9666666666666667,0.34730538922155685
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,4,16.0,0.6666666666666666,1.0,0.8
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,20,115.0,0.48717948717948717,1.0,0.6551724137931034
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,15,35.0,0.391304347826087,0.9,0.5454545454545454
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,17,41.0,0.36,0.9,0.5142857142857143
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,4,8.0,0.3333333333333333,1.0,0.5
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,49,149.0,0.23214285714285715,0.6842105263157895,0.3466666666666667
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,117,370.0,0.21830985915492956,0.8378378378378378,0.34636871508379885
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,27,76.0,0.1724137931034483,0.625,0.2702702702702703
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,6,12.0,0.5,0.8333333333333334,0.625
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,88,360.0,0.2571428571428571,0.7297297297297297,0.380281690140845
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,156,2205.0,0.416,0.9122807017543859,0.5714285714285714
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,45,158.0,0.296875,1.0,0.4578313253012048
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,32,90.0,0.2,1.0,0.33333333333333337
